,label,count,label_clean
81,METAL: Iron-sulfur 3 (4Fe-4S).,758791,metal: iron sulfur 3 (4fe 4s)
82,METAL: Divalent metal cation.,740353,metal: divalent metal cation
83,BINDING: NAD; via carbonyl oxygen.,730235,binding: nad; via carbonyl oxygen
84,heme pocket,729308,heme pocket
85,putative dimer interface,714751,dimer interface
86,METAL: Iron-sulfur 1 (4Fe-4S).,694129,metal: iron sulfur 1 (4fe 4s)
87,METAL: Iron (heme axial ligand).,684912,metal: iron (heme axial ligand)
88,NAD(P) binding site,684323,nad(p) binding site
89,oligomer interface,678396,oligomer interface
90,REGION: S-adenosyl-L-methionine binding.,673483,region: s adenosyl l methionine binding
91,BINDING: S-adenosyl-L-methionine; via carbonyl oxygen.,660217,binding: s adenosyl l methionine; via carbonyl oxygen
92,METAL: Zinc 2.,632856,metal: zinc 2
93,METAL: Zinc 1; via tele nitrogen.,615210,metal: zinc 1; via tele nitrogen
94,Mg2+ binding site,614867,mg2+ binding site
95,BINDING: GTP; via amide nitrogen.,612136,binding: gtp; via amide nitrogen
96,METAL: Manganese 2.,610050,metal: manganese 2
97,tetramer interface,572913,tetramer interface
98,putative metal binding site,561433,metal binding site
99,polypeptide substrate binding site,558235,polypeptide substrate binding site
100,TPP binding site,544789,tpp binding site
101,METAL: Zinc 1.,542489,metal: zinc 1
102,putative substrate binding site,529108,substrate binding site
103,Zn binding site,523379,zn binding site
104,ACT_SITE: O-(3'-phospho-DNA)-tyrosine intermediate.,522231,act_site: o (3' phospho dna) tyrosine intermediate
105,BINDING: Heme; covalent.,512922,binding: heme; covalent
106,anticodon binding site,511235,anticodon binding site
107,ACT_SITE: Charge relay system.,502064,act_site: charge relay system
108,putative DNA binding site,499512,dna binding site
109,PYR/PP interface,492759,pyr/pp interface
110,METAL: Manganese 1.,489822,metal: manganese 1
111,TM-ABC transporter signature motif,485894,tm abc transporter signature motif
112,motif 2,485020,motif 2
113,METAL: Iron-sulfur 1 (3Fe-4S).,479270,metal: iron sulfur 1 (3fe 4s)
114,BINDING: Substrate; via carbonyl oxygen.,470401,binding: substrate; via carbonyl oxygen
115,BINDING: S-adenosyl-L-methionine 2.,466078,binding: s adenosyl l methionine 2
116,I-site,454789,i site
117,motif 1,454131,motif 1
118,nucleotide binding site,453634,nucleotide binding site
119,METAL: Zinc 1; via tele nitrogen; catalytic.,450841,metal: zinc 1; via tele nitrogen; catalytic
120,Ligand Binding Site,439637,ligand binding site
121,RNA binding surface,434762,rna binding surface
122,motif 3,431678,motif 3
123,METAL: Manganese.,427447,metal: manganese
124,BINDING: FAD; via amide nitrogen and carbonyl oxygen.,417575,binding: fad; via amide nitrogen and carbonyl oxygen
125,TPP-binding site,414011,tpp binding site
126,METAL: Magnesium or manganese 1.,412067,metal: magnesium or manganese 1
127,BINDING: ATP; via carbonyl oxygen.,410884,binding: atp; via carbonyl oxygen
128,ACT_SITE: Acyl-ester intermediate.,406616,act_site: acyl ester intermediate
129,METAL: Magnesium or manganese 2.,405448,metal: magnesium or manganese 2
130,substrate binding pocket,403612,substrate binding pocket
131,NP_BIND: NAD or NADP.,400917,np_bind: nad or nadp
132,MOD_RES: N-methylphenylalanine.,397258,mod_res: n methylphenylalanine
133,SAM binding site,396818,sam binding site
134,SITE: Transition state stabilizer.,392816,site: transition state stabilizer
135,chemical substrate binding site,384596,chemical substrate binding site
136,Zn2+ binding site,378702,zn2+ binding site
137,BINDING: FAD; via amide nitrogen.,374848,binding: fad; via amide nitrogen
138,SITE: Important for catalytic activity.,374774,site: important for catalytic activity
139,DNA-binding site,371772,dna binding site
140,BINDING: S-adenosyl-L-methionine; via amide nitrogen.,370732,binding: s adenosyl l methionine; via amide nitrogen
141,activation loop (A-loop),369701,activation loop (a loop)
142,putative ATP binding site,368825,atp binding site
143,NTP binding site,361859,ntp binding site
144,putative GEF interaction site,361808,gef interaction site
145,FMN binding site,347914,fmn binding site
146,NAD binding site,346655,nad binding site
147,HIGH motif,332127,high motif
148,Ligand binding site,326895,ligand binding site
149,ACT_SITE: Proton donor/acceptor.,325261,act_site: proton donor/acceptor
150,NP_BIND: FMN.,316831,np_bind: fmn
151,KMSKS motif,313825,kmsks motif
152,tRNA binding surface,312095,trna binding surface
153,DXD motif,311901,dxd motif
154,oxyanion hole (OAH) forming residues,311717,oxyanion hole (oah) forming residues
155,BINDING: S-adenosyl-L-methionine 2; via carbonyl oxygen.,310981,binding: s adenosyl l methionine 2; via carbonyl oxygen
156,protein binding site,309381,protein binding site
157,BINDING: Heme 2; covalent.,309307,binding: heme 2; covalent
158,HSP70 interaction site,304366,hsp70 interaction site
159,METAL: Magnesium 1.,300081,metal: magnesium 1
160,BINDING: Heme 1; covalent.,300039,binding: heme 1; covalent
161,BINDING: S-adenosyl-L-methionine; via amide nitrogen and carbonyl oxygen.,298606,binding: s adenosyl l methionine; via amide nitrogen and carbonyl oxygen
162,SITE: Lowers pKa of active site Tyr.,294541,site: lowers pka of active site tyr
163,Mg2+ ligand,293890,mg2+ ligand
164,METAL: Iron (heme 1 axial ligand).,293587,metal: iron (heme 1 axial ligand)
165,BINDING: Heme C 2; covalent.,292762,binding: heme c 2; covalent
166,MOD_RES: 3-oxoalanine (Cys).,291528,mod_res: 3 oxoalanine (cys)
167,BINDING: Pyridoxal phosphate.,288150,binding: pyridoxal phosphate
168,23S rRNA interface,286209,23s rrna interface
169,ssDNA binding site,284429,ssdna binding site
170,BINDING: Glutamine.,283543,binding: glutamine
171,BINDING: FMN.,280559,binding: fmn
172,ACT_SITE: O-(5'-phospho-DNA)-serine intermediate.,277926,act_site: o (5' phospho dna) serine intermediate
173,ACT_SITE: Phosphoserine intermediate.,277672,act_site: phosphoserine intermediate
174,putative nucleic acid binding site,277313,nucleic acid binding site
175,METAL: Magnesium 2.,276551,metal: magnesium 2
176,METAL: Iron (heme 2 axial ligand).,272720,metal: iron (heme 2 axial ligand)
177,iron binding site,272056,iron binding site
178,nudix motif,271463,nudix motif
179,inhibitor-cofactor binding pocket,270449,inhibitor cofactor binding pocket
180,tRNA binding site,268269,trna binding site
181,lipid binding site,266926,lipid binding site
182,catalytic motif,266830,catalytic motif
183,putative chemical substrate binding pocket,266197,chemical substrate binding pocket
184,putative metal-binding site,266091,metal binding site
185,BINDING: ATP; via amide nitrogen.,263617,binding: atp; via amide nitrogen
186,lipoyl attachment site,262625,lipoyl attachment site
187,Cytokine receptor motif,262336,cytokine receptor motif
188,metal binding triad,261412,metal binding triad
189,catalytic nucleophile,255655,catalytic nucleophile
190,ACT_SITE: Cysteine sulfenic acid (-SOH) intermediate.,254214,act_site: cysteine sulfenic acid ( soh) intermediate
191,METAL: Iron.,249713,metal: iron
192,Catalytic site,248380,catalytic site
193,metal-binding site,247745,metal binding site
194,putative ligand binding site,247538,ligand binding site
195,interdomain interaction site,244976,interdomain interaction site
196,active site residue,242221,active site residue
197,Putative Catalytic site,241481,catalytic site
198,putative ligand binding site I,241392,ligand binding site i
199,ligand binding site II,241007,ligand binding site ii
200,Mg binding site,237514,mg binding site
201,METAL: Zinc; via tele nitrogen.,236717,metal: zinc; via tele nitrogen
202,CoA binding site,229305,coa binding site
203,Hpt domain binding site,228406,hpt domain binding site
204,NADP binding site,227830,nadp binding site
205,SITE: Essential for catalytic activity.,226800,site: essential for catalytic activity
206,generic binding surface I,225869,generic binding surface i
207,homotetramer interface,225410,homotetramer interface
208,"Mg2+ ligand, nucleophile: attacks phosphate moiety of intermediate to form covalent intermediate",222564,"mg2+ ligand, nucleophile: attacks phosphate moiety of intermediate to form covalent intermediate"
209,METAL: Zinc 1; catalytic.,221403,metal: zinc 1; catalytic
210,METAL: Iron 2.,217316,metal: iron 2
211,active site residues,216637,active site residues
212,METAL: Divalent metal cation 1.,215860,metal: divalent metal cation 1
213,Active site,215638,active site
214,METAL: Iron 1.,214780,metal: iron 1
215,flexible hinge region,214512,flexible hinge region
216,MOD_RES: N6-lipoyllysine.,214439,mod_res: n6 lipoyllysine
217,METAL: Iron-sulfur (4Fe-4S).,210945,metal: iron sulfur (4fe 4s)
218,METAL: Magnesium; via phosphate group.,210581,metal: magnesium; via phosphate group
219,METAL: Iron-sulfur (2Fe-2S).,208717,metal: iron sulfur (2fe 2s)
220,[2Fe-2S] cluster binding site,207267,[2fe 2s] cluster binding site
221,ACT_SITE: For GATase activity,206570,act_site: for gatase activity
222,putative acyl-acceptor binding pocket,205579,acyl acceptor binding pocket
223,MOD_RES: N6-carboxylysine.,205422,mod_res: n6 carboxylysine
224,coordinates with phosphate oxygen from ATP,204960,coordinates with phosphate oxygen from atp
225,conserved in all p-type atpases,204960,conserved in all p type atpases
226,probable role in phosphate transfer from ATP,204960,probable role in phosphate transfer from atp
227,stabilizes transition state of phosphoryl transfer by contacting beta & gamma phosphate oxygens of ATP,204960,stabilizes transition state of phosphoryl transfer by contacting beta & gamma phosphate oxygens of atp
228,"nucleophile: attacks gamma phosphate moiety of ATP to form covalent intermediate, Mg2+ ligand",204960,"nucleophile: attacks gamma phosphate moiety of atp to form covalent intermediate, mg2+ ligand"
229,E3 interaction surface,203887,e3 interaction surface
230,METAL: Divalent metal cation 2.,203121,metal: divalent metal cation 2
231,helix-hairpin-helix signature motif,201638,helix hairpin helix signature motif
232,METAL: Calcium 1.,201485,metal: calcium 1
233,catalytic loop,201075,catalytic loop
234,BINDING: S-adenosyl-L-methionine 1; via amide nitrogen and carbonyl oxygen.,200194,binding: s adenosyl l methionine 1; via amide nitrogen and carbonyl oxygen
235,METAL: Zinc 2; catalytic.,200011,metal: zinc 2; catalytic
236,biotinylation site,199704,biotinylation site
237,BINDING: S-adenosyl-L-methionine 1.,195402,binding: s adenosyl l methionine 1
238,BINDING: Heme c; covalent.,192642,binding: heme c; covalent
239,RNA/DNA hybrid binding site,192351,rna/dna hybrid binding site
240,METAL: Iron (heme axial ligand); via tele nitrogen.,192197,metal: iron (heme axial ligand); via tele nitrogen
241,carboxyltransferase (CT) interaction site,190694,carboxyltransferase (ct) interaction site
242,LIPID: S-diacylglycerol cysteine.,190049,lipid: s diacylglycerol cysteine
243,GIY-YIG motif/motif A,188728,giy yig motif/motif a
244,BINDING: Substrate; via amide nitrogen and carbonyl oxygen.,186595,binding: substrate; via amide nitrogen and carbonyl oxygen
245,putative NTP binding site,185620,ntp binding site
246,putative catalytic residues,183538,catalytic residues
247,METAL: Molybdenum; via amide nitrogen.,181524,metal: molybdenum; via amide nitrogen
248,zinc binding site,181116,zinc binding site
249,phosphate binding site,180041,phosphate binding site
250,putative catalytic residue,179876,catalytic residue
251,putative RNA binding site,177566,rna binding site
252,16S rRNA binding site,176138,16s rrna binding site
253,METAL: Potassium ion; via carbonyl oxygen.,174196,metal: potassium ion; via carbonyl oxygen
254,tetramer (dimer of dimers) interface,173625,tetramer (dimer of dimers) interface
255,domain linker motif,173050,domain linker motif
256,minor groove reading motif,172645,minor groove reading motif
257,BINDING: ATP; via amide nitrogen and carbonyl oxygen.,171490,binding: atp; via amide nitrogen and carbonyl oxygen
258,putative NAD(P) binding site,169440,nad(p) binding site
259,MOD_RES: Phosphohistidine; by autocatalysis.,169065,mod_res: phosphohistidine; by autocatalysis
260,phosphopeptide binding site,167994,phosphopeptide binding site
261,5S rRNA interface,165995,5s rrna interface
262,generic binding surface II,164111,generic binding surface ii
263,nucleic acid binding site,162725,nucleic acid binding site
264,BINDING: Heme C 1; covalent.,162668,binding: heme c 1; covalent
265,NAD binding pocket,162131,nad binding pocket
266,antibiotic binding site,160804,antibiotic binding site
267,LIPID: N-palmitoyl cysteine.,159865,lipid: n palmitoyl cysteine
268,METAL: Iron-sulfur 1 (4Fe-4S-S-AdoMet).,157459,metal: iron sulfur 1 (4fe 4s s adomet)
269,BINDING: cAMP 2.,157241,binding: camp 2
270,Fe-S cluster binding site,155985,fe s cluster binding site
271,METAL: Molybdenum.,155983,metal: molybdenum
272,homotrimer interaction site,155821,homotrimer interaction site
273,ligand binding site I,153875,ligand binding site i
274,metal ion-dependent adhesion site (MIDAS),151848,metal ion dependent adhesion site (midas)
275,putative Zn2+ binding site,148677,zn2+ binding site
276,putative tRNA-binding site,148427,trna binding site
277,METAL: Potassium; via carbonyl oxygen.,146913,metal: potassium; via carbonyl oxygen
278,Binds [4Fe-4S] cluster,145503,binds [4fe 4s] cluster
279,N-terminal domain interface,144448,n terminal domain interface
280,METAL: Zinc; via tele nitrogen; catalytic.,144092,metal: zinc; via tele nitrogen; catalytic
281,putative rRNA binding site,143786,rrna binding site
282,regulatory phosphorylation site,143676,regulatory phosphorylation site
283,Mg++ binding site,143533,mg++ binding site
284,putative homodimer interface,142262,homodimer interface
285,putative CoA binding site,141622,coa binding site
286,pyridoxal 5'-phosphate (PLP) binding site,141071,pyridoxal 5' phosphate (plp) binding site
287,putative catalytic site,140986,catalytic site
288,METAL: Molybdenum; via carbonyl oxygen.,138338,metal: molybdenum; via carbonyl oxygen
289,ACT_SITE: Tele-phosphohistidine intermediate.,137400,act_site: tele phosphohistidine intermediate
290,catalytic tetrad,134839,catalytic tetrad
291,rRNA binding site,134718,rrna binding site
292,substrate-cofactor binding pocket,134567,substrate cofactor binding pocket
293,metal binding ligand,134460,metal binding ligand
294,REGION: S-adenosyl-L-methionine 2 binding.,131607,region: s adenosyl l methionine 2 binding
295,METAL: Cobalt (cobalamin axial ligand).,129829,metal: cobalt (cobalamin axial ligand)
296,REGION: Pyridoxal phosphate binding.,129616,region: pyridoxal phosphate binding
297,putative chemical substrate binding site,129287,chemical substrate binding site
298,METAL: Iron-sulfur 2.,128182,metal: iron sulfur 2
299,BINDING: Cobalamin.,128020,binding: cobalamin
300,putative nucleotide binding site,127209,nucleotide binding site
301,METAL: Iron-sulfur 1.,127043,metal: iron sulfur 1
302,Ca2+ binding site,126576,ca2+ binding site
303,METAL: Copper.,125979,metal: copper
304,METAL: Molybdate.,124735,metal: molybdate
305,ACT_SITE: Acyl-thioester intermediate.,124015,act_site: acyl thioester intermediate
306,gamma subunit interface,122625,gamma subunit interface
307,S8 interaction site,121040,s8 interaction site
308,intersubunit interface,120737,intersubunit interface
309,METAL: Metal cation.,120610,metal: metal cation
310,synthetase active site,120101,synthetase active site
311,anchoring element,120067,anchoring element
312,Catalytic dyad,118009,catalytic dyad
313,ACT_SITE: For beta-ketoacyl synthase activity.,117031,act_site: for beta ketoacyl synthase activity
314,putative catalytic motif,116830,catalytic motif
315,phosphate binding motif,116744,phosphate binding motif
316,putative anticodon binding site,116580,anticodon binding site
317,acyl-activating enzyme (AAE) consensus motif,115366,acyl activating enzyme (aae) consensus motif
318,cohesin binding interface 1,115319,cohesin binding interface 1
319,beta-alpha-beta structure motif,114816,beta alpha beta structure motif
320,ACT_SITE: Thioimidate intermediate.,114499,act_site: thioimidate intermediate
321,Interdomain contacts,114399,interdomain contacts
322,helical arch,112921,helical arch
323,putative TRD-CR/TRD-CR interface,112267,trd cr/trd cr interface
324,MOTIF: Nudix box.,112161,motif: nudix box
325,C-terminal domain interface,111029,c terminal domain interface
326,catalytic core,110494,catalytic core
327,FAD binding site,108733,fad binding site
328,CoenzymeA binding site,108592,coenzymea binding site
329,SITE: Activates thiol group during catalysis.,108501,site: activates thiol group during catalysis
330,PHB binding site,107883,phb binding site
331,nucleotidyl binding site,107543,nucleotidyl binding site
332,L27 interface,107512,l27 interface
333,METAL: Magnesium or manganese.,106930,metal: magnesium or manganese
334,aspartate-rich region 2,106734,aspartate rich region 2
335,FAD binding pocket,104341,fad binding pocket
336,L25 interface,104017,l25 interface
337,METAL: Zinc 2; via tele nitrogen.,103575,metal: zinc 2; via tele nitrogen
338,BINDING: Pyrroloquinoline quinone.,102962,binding: pyrroloquinoline quinone
339,SITE: Important for beta-aspartyl-AMP intermediate formation.,102931,site: important for beta aspartyl amp intermediate formation
340,aspartate-rich region 1,102569,aspartate rich region 1
341,oxyanion hole,102440,oxyanion hole
342,alpha subunit interface,101882,alpha subunit interface
343,subunit interaction site,101821,subunit interaction site
344,cohesin binding interface 2,101618,cohesin binding interface 2
345,putative phosphate binding site,101457,phosphate binding site
346,FAD binding motif,100654,fad binding motif
347,domain interface,99679,domain interface
348,Substrate binding site,98840,substrate binding site
349,BINDING: FMN; shared with dimeric partner.,98385,binding: fmn; shared with dimeric partner
350,nucleotide binding pocket,98292,nucleotide binding pocket
351,METAL: Iron-sulfur (3Fe-4S).,95902,metal: iron sulfur (3fe 4s)
352,METAL: Iron (heme 2 axial ligand); via tele nitrogen.,95801,metal: iron (heme 2 axial ligand); via tele nitrogen
353,active site lid residues,95316,active site lid residues
354,active site pocket,95230,active site pocket
355,SITE: Important for catalysis.,95213,site: important for catalysis
356,putative binding surface,95198,binding surface
357,domain III,93721,domain iii
358,substrate-Mg2+ binding site,93650,substrate mg2+ binding site
359,METAL: Calcium 2.,93311,metal: calcium 2
360,heme binding site,93097,heme binding site
361,Molecular Tunnel,92276,molecular tunnel
362,ACT_SITE: For GATase activity.,92070,act_site: for gatase activity
363,sugar binding site,91724,sugar binding site
364,mobile loop,91170,mobile loop
365,SITE: Participates in a stacking interaction with the thymidine ring of dTDP-4-oxo-6-deoxyglucose.,90226,site: participates in a stacking interaction with the thymidine ring of dtdp 4 oxo 6 deoxyglucose
366,ABC-ATPase subunit  interface,89656,abc atpase subunit interface
367,Presynaptic Site I dimer interface,89070,presynaptic site i dimer interface
368,METAL: Iron-sulfur 2 (2Fe-2S).,88917,metal: iron sulfur 2 (2fe 2s)
369,domain II,88321,domain ii
370,23S rRNA binding site,88283,23s rrna binding site
371,peptide binding site,88153,peptide binding site
372,Synaptic Antiparallel dimer interface,87522,synaptic antiparallel dimer interface
373,putative ligand binding site II,87459,ligand binding site ii
374,Synaptic Flat tetramer interface,87389,synaptic flat tetramer interface
375,putative cosubstrate binding site,87149,cosubstrate binding site
376,Probable Catalytic site,87133,probable catalytic site
377,putative laminin-1 binding site,86851,laminin 1 binding site
378,Synaptic Site I dimer interface,86531,synaptic site i dimer interface
379,(T/H)XGH motif,86451,(t/h)xgh motif
380,REGION: Cobalamin-binding.,86140,region: cobalamin binding
381,conserved cys residue,86051,conserved cys residue
382,putative EF-Tu interaction site,85322,ef tu interaction site
383,putative EF-G interaction site,85023,ef g interaction site
384,L11 interface,84958,l11 interface
385,BINDING: Glyceraldehyde 3-phosphate.,84938,binding: glyceraldehyde 3 phosphate
386,multimer interface,84747,multimer interface
387,BINDING: NADP; via amide nitrogen and carbonyl oxygen.,84082,binding: nadp; via amide nitrogen and carbonyl oxygen
388,nucleoside/Zn binding site,83764,nucleoside/zn binding site
389,putative MPT binding site,83677,mpt binding site
390,chain length determination region,83485,chain length determination region
391,DnaA box-binding interface,83400,dnaa box binding interface
392,SITE: Raises pKa of active site His.,83177,site: raises pka of active site his
393,putative SAM binding site,82831,sam binding site
394,folate binding site,82336,folate binding site
395,domain IV,82273,domain iv
396,AMP binding site,82044,amp binding site
397,METAL: Calcium 1; via carbonyl oxygen.,82039,metal: calcium 1; via carbonyl oxygen
398,roof hairpin,81512,roof hairpin
399,ligand-binding site,81412,ligand binding site
400,ADP binding site,81221,adp binding site
401,METAL: Zinc; via pros nitrogen.,80822,metal: zinc; via pros nitrogen
402,"Mg2+ ligand, nucleophile: attacks phosphate moiety of substrate to form covalent intermediate",80817,"mg2+ ligand, nucleophile: attacks phosphate moiety of substrate to form covalent intermediate"
403,putative PBP binding regions,80455,pbp binding regions
404,GSH binding site (G-site),79777,gsh binding site (g site)
405,SulA interaction site,79764,sula interaction site
406,GTP binding site,79756,gtp binding site
407,Hsp70 (ATPase domain) interactions,79502,hsp70 (atpase domain) interactions
408,domain I,79049,domain i
409,RNA-binding motif,78860,rna binding motif
410,ATP-binding site,78790,atp binding site
411,putative DNA binding helix,78221,dna binding helix
412,ACT_SITE: 5-glutamyl coenzyme A thioester intermediate.,77148,act_site: 5 glutamyl coenzyme a thioester intermediate
413,epsilon subunit interface,77137,epsilon subunit interface
414,B12 binding site,76482,b12 binding site
415,ZN_FING: CHC2-type.,75356,zn_fing: chc2 type
416,CAP-like domain,75229,cap like domain
417,cobalt ligand,74790,cobalt ligand
418,putative deacylase active site,74787,deacylase active site
419,putative active site pocket,74280,active site pocket
420,putative trimer interface,74182,trimer interface
421,REGION: Glyceraldehyde 3-phosphate binding.,74145,region: glyceraldehyde 3 phosphate binding
422,METAL: Magnesium,74087,metal: magnesium
423,"SITE: Important for catalytic activity, responsible for pKa modulation of the active site Glu and correct orientation of both the proton donor and substrate.",73272,"site: important for catalytic activity, responsible for pka modulation of the active site glu and correct orientation of both the proton donor and substrate"
424,hinge regions,73167,hinge regions
425,AMP-binding site,73047,amp binding site
426,Zinc-binding site,72898,zinc binding site
427,putative ADP-binding pocket,72869,adp binding pocket
428,ACT_SITE: Phosphocysteine intermediate.,72751,act_site: phosphocysteine intermediate
429,DNA binding groove,72502,dna binding groove
430,The sites determining sugar specificity,72369,the sites determining sugar specificity
431,L5 interface,72188,l5 interface
432,BINDING: Heme 3; covalent.,72166,binding: heme 3; covalent
433,inhibitor binding site,71998,inhibitor binding site
434,S12 interface,71370,s12 interface
435,anti sigma factor interaction site,71144,anti sigma factor interaction site
436,putative substrate binding region,70390,substrate binding region
437,putative shikimate binding site,70184,shikimate binding site
438,putative hydrophobic ligand binding site,70176,hydrophobic ligand binding site
439,3Fe-4S cluster binding site,69481,3fe 4s cluster binding site
440,A component interface,69440,a component interface
441,metal binding site 2,69439,metal binding site 2
442,putative sugar binding site,69399,sugar binding site
443,BINDING: Heme (covalent).,69381,binding: heme (covalent)
444,magnesium binding site,69348,magnesium binding site
445,Na binding site,69203,na binding site
446,hinge,68952,hinge
447,primary dimer interface,68787,primary dimer interface
448,tetrahydrofolate-binding site,68494,tetrahydrofolate binding site
449,L10 interface,67843,l10 interface
450,hinge region,67411,hinge region
451,abstracts alpha proton (base),67021,abstracts alpha proton (base)
452,ACT_SITE: GMP-histidine intermediate.,66878,act_site: gmp histidine intermediate
453,rRNA interaction site,66709,rrna interaction site
454,MPN+ (JAMM) motif,66687,mpn+ (jamm) motif
455,ADP-ribose binding site,66511,adp ribose binding site
456,METAL: Iron (heme 3 axial ligand); via tele nitrogen.,66026,metal: iron (heme 3 axial ligand); via tele nitrogen
457,CMP-binding site,65877,cmp binding site
458,SBD interface,65556,sbd interface
459,ATP-AMP (Ap5A)-binding site,65039,atp amp (ap5a) binding site
460,core dimer interface,64247,core dimer interface
461,glutaminase active site,64176,glutaminase active site
462,homohexameric interface,63984,homohexameric interface
463,METAL: Iron-sulfur (2Fe-2S); shared with dimeric partner.,63140,metal: iron sulfur (2fe 2s); shared with dimeric partner
464,GEF interaction site,62819,gef interaction site
465,SITE: Essential for prephenate dehydratase activity.,62777,site: essential for prephenate dehydratase activity
466,Metal ligand,62618,metal ligand
467,METAL: Divalent metal cation; via tele nitrogen.,62588,metal: divalent metal cation; via tele nitrogen
468,CoA-binding site,62437,coa binding site
469,L16 interface,62206,l16 interface
470,L3 interface,61711,l3 interface
471,G-X2-G-X-G-K,61656,g x2 g x g k
472,peripheral dimer interface,61608,peripheral dimer interface
473,oligomerisation interface,61429,oligomerisation interface
474,Catalytic residue,61318,catalytic residue
475,metal binding site 1,60522,metal binding site 1
476,RNase E interface,60040,rnase e interface
477,Zn binding residues,59841,zn binding residues
478,active sites,59689,active sites
479,A' component interface,59648,a' component interface
480,RPB12 interaction site,59561,rpb12 interaction site
481,LBP interface,59251,lbp interface
482,METAL: Magnesium 2; catalytic.,59240,metal: magnesium 2; catalytic
483,putative oxyanion hole,58975,oxyanion hole
