length,charge,hydrophobicity,max_identity
12,-3,0.14166666666666672,0.0
100,-9,-0.12999999999999992,94.0
19,6,-1.2105263157894735,88.6
69,5,-0.7521739130434782,87.6
74,3,-0.8,84.4
17,0,0.12352941176470586,0.0
89,10,-0.8853932584269663,92.1
87,16,-0.728735632183908,85.9
98,-2,1.2663265306122449,86.3
98,-2,-0.1806122448979591,94.2
60,0,-0.3783333333333333,97.5
95,-8,-0.2621052631578948,90.6
20,7,0.03499999999999996,98.5
95,-11,0.07473684210526321,93.6
97,-8,-0.34432989690721655,94.2
94,0,-0.3085106382978724,95.1
22,5,-0.9636363636363634,100.0
90,15,-0.6088888888888888,92.7
78,7,-0.3769230769230769,96.7
89,-3,-0.18651685393258424,96.6
45,3,-0.6977777777777778,84.8
89,7,-0.8359550561797754,93.0
73,-5,-0.7219178082191781,94.9
55,9,-0.6890909090909091,90.5
23,5,-1.9130434782608687,0.0
97,-1,0.05257731958762888,90.4
52,7,-1.123076923076923,100.0
14,1,1.3928571428571428,0.0
95,-9,0.25473684210526304,93.1
21,7,-0.7428571428571424,0.0
65,12,-0.20615384615384608,91.8
59,13,-0.3508474576271188,93.3
95,-2,-0.11999999999999998,94.3
63,1,-0.11428571428571427,96.6
90,-3,-0.6488888888888888,87.8
100,-9,-0.12999999999999992,94.0
54,13,-0.8907407407407406,90.7
98,-1,1.1836734693877553,88.4
21,6,-0.27142857142857146,0.0
12,6,-1.225,0.0
14,-2,1.1285714285714288,0.0
100,-7,-0.024000000000000066,92.5
44,16,-1.5545454545454545,87.6
96,-4,-0.08124999999999998,94.2
89,14,-0.5573033707865168,92.1
96,1,1.0916666666666668,85.4
61,-1,-0.4786885245901639,92.2
89,11,-0.6842696629213482,93.6
59,13,-0.3508474576271188,93.3
95,-4,-0.06315789473684198,92.8
52,7,-1.123076923076923,100.0
64,4,-0.046875,100.0
89,7,-0.5955056179775281,93.6
22,0,0.8363636363636364,0.0
95,-8,0.1357894736842105,93.6
37,11,-1.7216216216216218,71.1
12,-3,0.14166666666666672,0.0
12,-2,-0.24166666666666678,0.0
45,15,-0.8644444444444445,91.5
21,9,-1.1571428571428566,0.0
12,6,-1.6833333333333333,0.0
95,-4,-0.30000000000000004,92.2
49,11,-1.1918367346938774,100.0
99,-9,-0.11515151515151517,93.5
82,4,0.22560975609756093,87.6
56,13,-0.7446428571428572,92.7
95,-4,-0.48736842105263156,94.3
70,4,-0.5242857142857142,86.2
95,-7,-0.10210526315789466,92.6
11,7,-3.0,0.0
39,4,-0.47692307692307695,91.1
13,3,-0.34615384615384615,100.0
78,1,-0.308974358974359,86.6
13,6,-1.1076923076923075,0.0
96,2,-0.16354166666666656,91.7
72,5,-0.38194444444444436,91.6
49,7,-0.7591836734693876,95.9
63,-1,-0.07460317460317471,92.6
87,8,-0.93448275862069,93.4
15,4,0.5333333333333333,0.0
49,8,-1.0653061224489797,100.0
99,2,0.010101010101010046,95.3
13,4,0.13076923076923078,0.0
98,0,1.263265306122449,86.6
12,0,-0.7166666666666665,0.0
100,-1,1.003,89.3
11,-1,0.5727272727272728,0.0
99,2,0.010101010101010046,95.3
87,10,-0.6448275862068966,92.6
82,4,0.22560975609756093,87.6
48,1,-0.06458333333333334,0.0
12,1,1.5750000000000002,0.0
98,-2,1.2948979591836736,84.4
89,1,-0.15393258426966291,96.2
100,3,1.088,87.1
91,10,-0.8725274725274725,83.5
19,6,-1.4315789473684208,0.0
99,2,0.010101010101010046,95.3
13,4,0.06153846153846166,0.0
96,6,-0.540625,94.3
97,10,-0.6185567010309279,92.8
84,3,-0.22380952380952376,96.0
98,-3,1.3428571428571427,88.4
55,10,-0.6199999999999999,92.6
65,4,-0.9953846153846154,87.2
48,1,-0.06458333333333334,0.0
12,1,1.2833333333333334,0.0
98,-3,1.3346938775510204,83.1
77,1,1.0883116883116883,86.1
97,-8,-0.34432989690721655,94.2
20,-3,-0.095,92.4
94,-7,-0.3670212765957446,94.2
89,-3,-0.18651685393258424,96.6
98,-4,-0.06122448979591835,92.8
95,-5,-0.06315789473684212,94.2
64,9,-0.5374999999999999,83.9
77,-1,-0.0337662337662338,97.0
64,4,-0.046875,100.0
62,-2,-0.6435483870967742,90.6
20,3,0.07499999999999991,85.4
62,-2,-0.6435483870967742,90.6
13,5,-0.015384615384615467,0.0
62,14,-0.6112903225806453,92.3
89,7,-0.6460674157303371,93.2
23,12,-1.108695652173913,98.7
21,6,-0.37142857142857144,0.0
19,4,-0.17368421052631589,99.3
84,3,-0.22380952380952376,96.0
98,-4,-0.06122448979591835,92.8
92,5,-0.225,94.3
36,8,-1.5722222222222222,100.0
81,0,-0.8691358024691359,89.6
95,-6,0.1642105263157895,94.3
14,-5,0.16428571428571434,0.0
98,0,-0.3581632653061225,94.3
96,7,-0.15833333333333335,96.8
13,1,1.8846153846153848,0.0
84,3,-0.22380952380952376,96.0
18,1,0.6333333333333333,91.2
81,-3,0.09135802469135809,100.0
84,-1,1.2499999999999998,84.4
95,-5,-0.23157894736842108,88.5
100,4,-1.205,97.5
61,4,-0.14262295081967216,94.7
96,10,-0.6177083333333333,92.8
57,1,-1.8578947368421053,0.0
12,6,-2.65,0.0
96,2,-0.16354166666666656,91.7
89,8,-0.6449438202247191,93.4
59,6,-0.21016949152542377,93.3
68,5,-0.9397058823529412,86.3
45,16,-1.2200000000000002,83.6
98,-4,-0.06122448979591835,92.8
95,-7,0.09157894736842107,94.5
100,-9,-0.12999999999999992,94.0
97,-1,0.05257731958762888,90.4
95,-4,0.13894736842105262,91.5
20,6,-0.4750000000000001,98.5
94,15,-0.18829787234042544,93.3
87,8,-0.8620689655172417,92.2
15,0,0.8666666666666667,0.0
15,-3,-0.7266666666666667,100.0
11,4,-2.1727272727272724,0.0
98,-2,1.2948979591836736,84.4
95,-4,-0.06315789473684198,92.8
88,15,-0.8125,93.0
94,19,-0.779787234042553,89.7
12,-2,-0.24166666666666678,0.0
62,10,-1.0306451612903225,93.9
74,4,0.8918918918918917,86.4
75,4,-0.8133333333333335,99.3
95,-11,0.07473684210526321,93.6
100,-7,0.171,93.0
89,10,-0.8853932584269663,92.1
89,9,-0.8202247191011236,92.7
98,-1,1.1551020408163266,87.2
49,11,-1.0979591836734692,100.0
17,0,0.31176470588235294,0.0
94,-7,-0.3414893617021276,94.5
68,7,-1.0264705882352942,85.3
96,10,-0.6177083333333333,92.8
21,8,-0.3571428571428572,0.0
94,15,-0.18829787234042544,93.3
61,5,-0.16065573770491803,95.5
55,9,-0.9036363636363635,93.5
97,-2,-0.2989690721649484,92.1
96,-1,0.016666666666666646,93.5
89,11,-0.8617977528089888,92.5
19,3,-0.6736842105263158,93.2
89,10,-0.8101123595505617,93.0
98,9,-0.4755102040816327,90.1
98,-2,0.6673469387755102,93.3
49,7,-0.9122448979591836,100.0
87,16,-0.4425287356321839,86.7
16,1,0.8375000000000001,99.7
94,-1,-0.33191489361702126,95.9
97,-17,-0.4195876288659794,92.8
95,-1,-0.24631578947368424,96.5
87,-4,0.4574712643678158,89.2
12,7,-2.05,0.0
63,1,-0.11428571428571427,96.6
98,7,-0.32959183673469394,92.3
95,-7,-0.3010526315789474,95.0
12,3,-0.9416666666666668,0.0
77,1,1.0883116883116883,86.1
11,0,0.07272727272727271,0.0
66,2,-0.6606060606060608,91.9
96,10,-0.6177083333333333,92.8
14,-2,1.1285714285714288,0.0
98,0,-0.3581632653061225,94.3
18,3,1.3111111111111111,100.0
98,0,-0.3581632653061225,94.3
55,10,-0.8036363636363637,92.9
77,8,-0.7584415584415585,87.6
91,6,-0.6978021978021978,92.8
89,14,-0.5573033707865168,92.1
11,4,-2.372727272727272,0.0
49,9,-1.2938775510204081,100.0
11,6,-2.8636363636363638,0.0
15,4,0.5333333333333333,0.0
50,1,0.12200000000000001,87.7
88,8,-0.8022727272727274,94.0
100,10,-0.3379999999999999,94.3
87,8,-0.8620689655172417,92.2
21,8,-1.0999999999999996,0.0
69,-8,-1.1318840579710145,89.0
61,-1,-0.4786885245901639,92.2
11,0,1.7545454545454546,0.0
99,-8,-0.1101010101010101,93.0
95,-6,-0.0663157894736842,91.0
98,0,1.263265306122449,86.6
65,5,-0.6292307692307693,92.3
29,1,-1.0275862068965516,0.0
44,16,-1.1886363636363637,88.8
23,6,-1.726086956521739,100.0
78,0,-0.2782051282051282,99.5
11,1,0.45454545454545453,0.0
62,6,-0.785483870967742,88.2
66,5,-0.7196969696969697,100.0
94,10,-0.8095744680851065,93.1
46,1,-1.3021739130434784,90.5
49,8,-1.0653061224489797,100.0
14,-2,1.1285714285714288,0.0
13,4,0.08461538461538466,0.0
65,13,-0.6061538461538463,99.3
96,0,-0.6270833333333333,94.5
100,3,-1.004,94.5
24,12,-1.7,0.0
86,-5,-0.4104651162790697,100.0
98,-2,1.2857142857142858,86.5
57,28,-2.3754385964912283,73.2
62,-2,-0.6435483870967742,90.6
88,9,-0.8715909090909091,93.8
98,-1,0.9969387755102043,88.0
98,0,-0.3581632653061225,94.3
38,3,-0.5973684210526317,92.4
65,5,-0.6292307692307693,92.3
96,-3,0.07187499999999995,92.4
68,7,-1.0264705882352942,85.3
17,6,-0.2529411764705881,0.0
11,2,-0.8545454545454544,0.0
16,2,0.6625000000000001,0.0
77,8,-0.7584415584415585,87.6
50,3,0.09600000000000002,93.8
49,9,-1.2183673469387755,97.6
99,-9,0.03535353535353535,91.3
98,-2,1.3602040816326533,86.1
93,-2,-0.8086021505376344,88.4
95,-11,0.07473684210526321,93.6
49,11,-1.1918367346938774,100.0
98,-2,1.2112244897959186,87.2
98,5,-0.7938775510204082,92.9
19,0,-0.08947368421052623,100.0
98,-1,1.1387755102040815,89.4
70,7,-1.1328571428571426,84.1
12,6,-2.65,0.0
29,6,-1.9310344827586208,88.2
89,11,-0.5258426966292136,100.0
11,1,0.45454545454545453,0.0
98,-2,1.485714285714286,84.6
12,4,-0.9416666666666668,0.0
19,8,-2.657894736842105,0.0
59,13,-0.3508474576271188,93.3
89,6,-0.696629213483146,93.4
45,3,-0.6977777777777778,84.8
73,2,-0.278082191780822,97.4
90,-7,0.23555555555555555,90.4
72,5,-0.38194444444444436,91.6
99,2,0.010101010101010046,95.3
60,-5,-0.5166666666666667,95.3
95,-6,-0.11368421052631576,91.7
59,13,-0.3508474576271188,93.3
96,-1,-0.10520833333333339,93.1
100,-9,-0.12999999999999992,94.0
20,1,0.21499999999999994,100.0
89,9,-0.5662921348314607,93.4
99,2,1.3777777777777778,82.7
12,6,-1.6833333333333333,0.0
77,1,-0.6558441558441559,91.8
95,-4,0.13894736842105262,91.5
14,-2,1.1285714285714288,0.0
96,-1,0.016666666666666646,93.5
14,6,-2.1428571428571423,0.0
63,12,-0.41428571428571426,100.0
98,15,-0.7091836734693876,92.9
96,-2,-0.19166666666666674,92.9
12,6,-0.6833333333333332,0.0
22,10,-2.272727272727272,0.0
83,15,-0.48554216867469874,99.0
11,-1,0.209090909090909,0.0
97,-1,0.05257731958762888,90.4
14,6,-0.30714285714285733,0.0
13,7,-1.123076923076923,0.0
100,-9,-0.12999999999999992,94.0
73,-6,-0.6684931506849314,90.7
47,7,-0.6617021276595745,100.0
76,2,1.1684210526315788,88.9
19,6,-1.6842105263157894,100.0
12,-2,-0.24166666666666678,0.0
87,8,-0.8620689655172417,92.2
96,-1,0.016666666666666646,93.5
71,-6,-0.7464788732394366,88.7
89,10,-0.6719101123595506,93.4
87,-4,-0.406896551724138,99.2
95,-7,-0.3010526315789474,95.0
95,-11,0.07473684210526321,93.6
83,3,-0.2578313253012048,96.0
69,5,-0.5942028985507246,92.9
16,9,-1.75625,0.0
98,-1,1.1387755102040815,89.4
64,3,-0.5453125,97.3
51,9,-0.8058823529411764,96.5
98,-8,0.03775510204081631,93.0
96,-1,0.016666666666666646,93.5
89,8,-0.8370786516853934,93.8
14,-2,1.1285714285714288,0.0
97,-4,-0.3072164948453608,90.5
98,-2,1.2948979591836736,84.4
64,11,-0.696875,100.0
89,-3,-0.18651685393258424,96.6
67,5,-1.2567164179104477,82.6
14,3,-0.8928571428571429,0.0
12,6,-1.225,0.0
20,15,-3.655,0.0
98,-3,1.3428571428571427,88.4
94,-4,-0.40425531914893614,93.3
95,-4,0.13894736842105262,91.5
11,4,-0.19090909090909094,0.0
90,-3,-0.6488888888888888,87.8
72,5,-0.38194444444444436,91.6
95,-2,-0.11999999999999998,94.3
44,16,-1.1886363636363637,88.8
98,-4,0.9153061224489796,92.3
23,6,-1.726086956521739,100.0
64,9,-0.5374999999999999,83.9
83,3,-0.2578313253012048,96.0
30,12,-1.4533333333333334,82.2
17,1,1.7705882352941178,0.0
17,6,-1.6117647058823528,100.0
20,-1,-0.32500000000000007,100.0
98,-2,1.3969387755102038,86.3
95,-10,-0.0252631578947368,95.9
11,8,-3.0818181818181816,0.0
89,6,-0.7966292134831461,93.2
15,-1,0.3266666666666666,0.0
95,-6,0.1642105263157895,94.3
78,13,-0.7089743589743589,94.8
87,12,-1.325287356321839,99.0
56,12,-0.9107142857142857,93.0
98,9,-0.4755102040816327,90.1
96,-9,0.08645833333333332,91.2
74,-20,-1.3756756756756758,89.8
47,0,-0.35319148936170214,100.0
100,-9,-0.12999999999999992,94.0
95,-8,-0.2621052631578948,90.6
95,-5,-0.43473684210526314,95.6
89,9,-0.7764044943820224,91.7
76,5,-0.39605263157894727,93.5
87,-5,-0.4919540229885058,89.0
62,-2,-0.6435483870967742,90.6
98,-2,1.2948979591836736,84.4
99,0,-0.4444444444444444,94.5
12,6,-1.1250000000000002,0.0
88,8,-0.8022727272727274,94.0
98,-2,1.3020408163265305,86.3
25,0,0.09599999999999996,96.9
89,10,-0.8853932584269663,92.1
91,-5,-0.6934065934065934,88.3
55,8,0.010909090909090943,75.5
65,12,-1.170769230769231,100.0
88,11,-0.43863636363636355,92.3
87,8,-0.93448275862069,93.4
69,5,-0.7521739130434782,87.6
63,1,-0.18571428571428575,97.1
48,23,-2.229166666666667,80.8
11,4,-2.372727272727272,0.0
17,8,-2.2470588235294113,100.0
98,-2,1.485714285714286,84.6
31,2,2.0129032258064514,85.3
89,-3,0.24044943820224712,89.5
67,-2,-0.21791044776119403,93.7
56,13,-0.7446428571428572,92.7
74,2,1.1567567567567567,89.2
16,2,0.44999999999999996,0.0
87,8,-0.8620689655172417,92.2
49,8,-1.0653061224489797,100.0
93,3,-0.10645161290322576,93.1
12,2,-0.6333333333333333,0.0
51,9,-0.8627450980392157,94.2
18,8,-0.6888888888888888,0.0
100,-2,-0.525,90.3
12,3,0.05833333333333331,0.0
85,-3,-0.6576470588235295,89.6
100,-9,-0.12999999999999992,94.0
11,1,0.3363636363636363,0.0
89,11,-0.6269662921348315,94.5
73,5,-0.08904109589041101,95.5
99,-12,-0.1989898989898989,95.0
87,8,-0.93448275862069,93.4
38,3,-0.5973684210526317,92.4
95,0,-0.20210526315789473,96.3
95,-4,-0.48736842105263156,94.3
67,5,-0.9298507462686568,86.9
68,4,-0.8514705882352941,90.0
65,5,-0.6292307692307693,92.3
99,2,0.010101010101010046,95.3
95,0,-0.20210526315789473,96.3
98,-4,-0.06122448979591835,92.8
78,13,-0.614102564102564,94.8
72,5,-0.38194444444444436,91.6
13,3,-1.0692307692307692,100.0
72,5,-0.38194444444444436,91.6
100,10,-0.3379999999999999,94.3
76,4,-0.7210526315789473,100.0
89,7,-0.5898876404494382,93.4
96,-1,0.016666666666666646,93.5
72,-1,-0.3597222222222223,93.0
27,4,0.3296296296296298,99.3
98,-2,1.2948979591836736,84.4
92,10,-0.6706521739130435,97.8
95,-9,0.25473684210526304,93.1
14,1,1.2142857142857142,0.0
12,-3,0.14166666666666672,0.0
90,-3,0.2955555555555556,89.7
63,1,-0.11428571428571427,96.6
89,10,-0.6719101123595506,93.4
87,-4,0.4574712643678158,89.2
95,-10,-0.05578947368421048,92.2
100,9,-0.18999999999999997,95.2
11,-2,0.11818181818181815,0.0
44,16,-0.9863636363636364,93.8
46,17,-1.1500000000000001,85.7
98,-1,1.1551020408163266,87.2
64,4,-0.046875,100.0
12,0,-0.9583333333333335,0.0
95,-7,-0.3010526315789474,95.0
89,6,-0.47752808988764045,92.5
89,8,-0.8370786516853934,93.8
16,7,-1.7874999999999999,0.0
100,-7,-0.024000000000000066,92.5
97,-8,-0.34432989690721655,94.2
60,0,-0.3783333333333333,97.5
96,-3,-0.19999999999999993,94.3
44,16,-1.5545454545454545,87.6
11,1,0.309090909090909,0.0
14,-2,1.1285714285714288,0.0
95,-4,-0.48736842105263156,94.3
13,4,0.06153846153846166,0.0
66,1,1.1303030303030301,91.4
95,-11,0.07473684210526321,93.6
11,-1,0.209090909090909,0.0
100,-9,-0.12999999999999992,94.0
55,10,-0.8036363636363637,92.9
20,6,0.7700000000000001,0.0
44,15,-1.1613636363636364,88.0
49,11,-1.0979591836734692,100.0
64,9,-0.5374999999999999,83.9
88,-5,-0.20227272727272724,91.9
89,11,-0.8617977528089888,96.8
100,-9,-0.12999999999999992,94.0
85,-1,-0.6929411764705882,100.0
87,7,-1.0494252873563221,93.0
95,-4,-0.06315789473684198,92.8
97,-17,-0.4195876288659794,92.8
89,9,-0.8202247191011236,92.7
100,1,0.9369999999999998,86.6
14,4,-0.7714285714285715,0.0
99,2,0.010101010101010046,95.3
13,1,-0.10769230769230773,0.0
62,-2,-0.6435483870967742,90.6
100,-9,-0.12999999999999992,94.0
39,4,-0.47692307692307695,91.1
99,2,1.3777777777777778,82.7
20,3,1.2750000000000001,84.6
89,12,-0.5719101123595506,93.8
89,9,-0.8202247191011236,92.7
11,0,0.11818181818181815,0.0
100,-3,-0.09100000000000005,94.8
94,20,-0.9542553191489362,84.5
14,-2,1.1285714285714288,0.0
27,1,0.28888888888888886,94.8
81,3,-0.4098765432098766,88.2
21,6,0.42857142857142855,0.0
87,-4,-0.406896551724138,99.2
88,7,-0.4534090909090908,99.5
98,-2,1.2948979591836736,84.4
99,-7,-0.04747474747474742,90.1
59,6,-0.1474576271186441,92.7
88,8,-0.8022727272727274,94.0
72,9,-1.0763888888888888,86.7
12,-1,1.0,0.0
89,7,-0.6460674157303371,93.2
14,-2,1.1285714285714288,0.0
51,9,-1.1705882352941175,99.1
95,-10,-1.0757894736842106,99.6
21,7,-0.7428571428571424,0.0
60,4,-0.4816666666666667,90.5
84,11,-0.9607142857142861,94.4
21,7,-0.7428571428571424,0.0
72,-1,-1.2680555555555557,87.9
68,5,-0.37500000000000006,100.0
96,-1,-0.23854166666666665,94.5
96,-4,-0.3604166666666666,96.8
99,6,-0.3919191919191919,90.3
59,13,-0.3508474576271188,93.3
98,-2,1.2948979591836736,84.4
32,7,-0.79375,100.0
100,-9,-0.12999999999999992,94.0
64,3,-0.5453125,97.3
61,5,-0.16065573770491803,95.5
22,0,0.8363636363636364,0.0
65,4,-0.9953846153846154,87.2
18,4,0.4444444444444444,95.2
60,10,-1.0266666666666666,95.6
69,7,-0.7565217391304349,100.0
98,-2,1.2948979591836736,84.4
51,4,-0.23333333333333334,91.1
95,-6,-0.0663157894736842,91.0
27,7,-1.07037037037037,0.0
96,-1,0.016666666666666646,93.5
98,-2,1.220408163265306,85.8
56,12,-0.9107142857142857,93.0
56,9,-0.9392857142857143,95.7
84,6,-0.23095238095238077,97.0
89,6,-0.696629213483146,93.4
94,6,-0.6074468085106383,91.0
47,8,-1.1702127659574466,100.0
48,1,-0.06458333333333334,0.0
96,-4,-0.3604166666666666,96.8
68,-1,-0.36176470588235293,96.9
67,0,-0.35522388059701493,93.9
61,-1,-0.4786885245901639,92.2
100,13,-0.2519999999999999,93.5
81,-1,1.0160493827160493,87.5
14,4,0.18571428571428572,0.0
98,-2,1.2857142857142858,86.5
55,22,-2.183636363636363,84.3
99,-7,-0.11010101010101007,92.5
95,-8,0.1357894736842105,93.6
84,3,-0.22380952380952376,96.0
49,4,0.044897959183673446,80.6
99,-7,-0.04747474747474742,90.1
95,-6,-0.11368421052631576,91.7
95,-6,-0.11368421052631576,91.7
15,-2,-0.2733333333333333,100.0
87,8,-0.8620689655172417,92.2
49,10,-1.3959183673469389,93.5
96,-3,-0.03020833333333343,92.9
87,8,-0.8620689655172417,92.2
55,9,-0.6890909090909091,90.5
14,-5,0.16428571428571434,0.0
90,15,-0.6088888888888888,92.7
87,23,-0.36551724137931035,86.8
89,7,-0.5955056179775281,93.6
26,3,0.44615384615384623,84.1
100,-9,-0.12999999999999992,94.0
80,-2,-0.18000000000000005,96.0
14,-2,1.1285714285714288,0.0
21,9,-1.1571428571428566,0.0
97,-4,-0.543298969072165,91.4
95,-8,0.3357894736842105,89.9
95,-4,0.13894736842105262,91.5
15,4,0.5333333333333333,0.0
12,-3,0.14166666666666672,0.0
95,-9,0.25473684210526304,93.1
79,26,-1.8177215189873424,77.0
65,5,-0.32153846153846155,92.9
95,-5,0.09052631578947373,93.5
19,3,-0.5105263157894736,100.0
96,-2,-0.3166666666666666,94.2
95,-8,-0.2621052631578948,90.6
95,-8,-0.2621052631578948,90.6
87,-4,-0.406896551724138,99.2
65,5,-0.6292307692307693,92.3
21,7,-1.9523809523809523,94.2
14,-2,1.1285714285714288,0.0
95,-5,0.09052631578947373,93.5
100,-9,-0.12999999999999992,94.0
12,-1,-0.07500000000000001,0.0
15,2,0.2866666666666667,0.0
98,-2,1.3132653061224488,86.1
47,-4,-0.43617021276595747,98.1
98,-4,-0.06122448979591835,92.8
17,0,0.31176470588235294,0.0
15,-5,-0.41333333333333333,0.0
100,-9,-0.12999999999999992,94.0
20,-3,-0.86,100.0
65,12,-1.170769230769231,100.0
67,7,-1.3477611940298506,83.6
65,5,-0.6292307692307693,92.3
97,-1,0.05257731958762888,90.4
100,7,-0.348,93.3
98,-3,1.3428571428571427,88.4
95,-2,-0.21157894736842092,93.8
20,15,-3.655,0.0
87,8,-0.93448275862069,93.4
13,4,0.06153846153846166,0.0
93,-4,-0.13655913978494627,93.8
86,-4,0.2546511627906977,90.3
12,5,-1.1916666666666667,0.0
67,7,-1.3477611940298506,83.6
91,8,-0.5945054945054945,92.0
69,5,-0.5942028985507246,92.9
36,3,-0.5472222222222222,100.0
33,14,-1.4000000000000001,0.0
58,5,-1.006896551724138,100.0
88,8,-0.8022727272727274,94.0
14,-2,1.1285714285714288,0.0
89,8,-0.8370786516853934,93.8
89,9,-0.7202247191011235,93.4
100,-9,-0.12999999999999992,94.0
95,-4,-0.06315789473684198,92.8
60,0,-0.3783333333333333,97.5
80,1,-0.14749999999999996,97.9
88,8,-0.8022727272727274,94.0
65,12,-0.20615384615384608,91.8
12,-3,0.14166666666666672,0.0
18,1,0.37222222222222223,100.0
96,2,-0.16354166666666656,91.7
87,8,-0.93448275862069,93.4
14,-2,1.1285714285714288,0.0
74,4,-0.25,97.1
65,4,-0.9953846153846154,87.2
98,-2,1.2948979591836736,84.4
17,8,-2.2470588235294113,100.0
87,7,-1.0494252873563221,93.0
12,0,-0.9583333333333335,0.0
98,0,-0.3581632653061225,94.3
55,10,-0.46363636363636357,94.5
60,0,-0.3783333333333333,97.5
98,-1,1.25,82.6
84,1,-0.024999999999999994,93.4
14,-5,0.16428571428571434,0.0
89,7,-0.6460674157303371,93.2
49,7,-1.042857142857143,98.0
44,16,-1.1886363636363637,88.8
89,9,-0.7584269662921348,91.3
12,1,-0.3333333333333333,0.0
89,11,-0.7741573033707866,91.3
89,6,-0.696629213483146,93.4
65,12,-0.31230769230769234,100.0
49,10,-0.6183673469387755,95.9
11,2,-0.4181818181818183,0.0
13,5,-0.015384615384615467,0.0
11,4,-0.9545454545454546,0.0
98,-2,0.9000000000000001,90.7
64,6,-0.5953125,93.1
36,1,-0.3500000000000001,100.0
11,-2,-0.6,0.0
11,2,0.15454545454545457,0.0
12,4,-0.3249999999999999,0.0
85,-1,-0.16588235294117654,97.7
90,0,-0.25444444444444453,91.2
11,-2,0.5363636363636364,0.0
96,10,-0.6177083333333333,92.8
70,0,1.0542857142857143,85.5
69,-5,-0.8855072463768117,89.5
52,27,-2.069230769230769,80.8
99,-7,-0.11010101010101007,92.5
65,11,-0.4969230769230771,98.0
34,-2,1.0411764705882351,94.2
89,9,-0.5662921348314607,93.4
99,1,1.3606060606060606,82.5
100,1,0.9169999999999999,90.5
12,2,0.5333333333333333,0.0
84,3,-0.22380952380952376,96.0
18,5,-1.2888888888888888,0.0
51,4,-0.23333333333333334,91.1
95,-6,0.1642105263157895,94.3
98,-1,1.3510204081632653,85.1
89,7,-0.6460674157303371,93.2
92,20,-0.6663043478260869,78.3
72,5,-0.38194444444444436,91.6
77,9,-0.5714285714285713,95.7
77,8,-0.7584415584415585,87.6
12,-3,0.14166666666666672,0.0
98,-2,1.353061224489796,85.8
99,10,-0.3505050505050505,92.5
65,12,-0.20615384615384608,91.8
64,6,-0.5953125,93.1
96,-1,0.016666666666666646,93.5
11,4,-2.1727272727272724,0.0
12,4,0.775,0.0
65,4,-0.9953846153846154,87.2
30,12,-1.4533333333333334,82.2
96,-2,-0.3166666666666666,94.2
